Iteration,Average Returns
0,-1086.2625732421875
5,-80.45932006835938
10,-98.3408203125
15,-102.22505187988281
20,-80.98082733154297
25,-96.56525421142578
30,-100.72367858886719
35,-102.76854705810547
40,-83.97207641601562
45,-105.0387191772461
50,-97.44932556152344
55,-98.18086242675781
60,-96.89518737792969
65,-99.7409439086914
70,-80.27603149414062
75,-80.16925048828125
80,-97.23809814453125
85,-98.94635772705078
90,-100.1999740600586
95,-98.4253921508789
100,-100.6773452758789
105,-89.11051177978516
110,-97.06877136230469
115,-98.82450103759766
120,-99.17896270751953
125,-101.3490219116211
130,-95.232177734375
135,-80.28598022460938
140,-107.48319244384766
145,-81.92003631591797
