Iteration,Average Returns
0,-1297.5239632999367
5,-1653.978818324615
10,-1163.3890231091561
15,-1285.7536735497658
20,-1459.7119769539722
25,-1389.0870379753796
30,-1489.5173100519535
35,-1431.0915728067487
40,-1412.6245929055287
45,-1420.941049708037
50,-1692.9790816852428
55,-1685.219309463606
60,-1515.2922415613855
65,-1596.7637721089955
70,-1518.735782025164
75,-1587.4580834793808
80,-1616.3667365047904
85,-1665.5089955319338
90,-1611.2438514532485
95,-1592.4773850470729
100,-1563.4448580607527
105,-1523.4329142390636
110,-1504.7451976100715
115,-1716.8439220335633
120,-1554.1386658954925
125,-1558.9656211609033
130,-1503.455647585498
135,-1645.186160979596
140,-1732.0709243494732
145,-1916.545099450851
