Iteration,Average Returns
0,-1086.2625732421875
5,-101.33251190185547
10,-98.11994171142578
15,-99.87788391113281
20,-100.00175476074219
25,-104.59861755371094
30,-97.78033447265625
35,-79.64221954345703
40,-99.6868667602539
45,-101.43561553955078
50,-97.56282806396484
55,-87.2275619506836
60,-101.73291015625
65,-100.50177764892578
70,-98.46073913574219
75,-83.76516723632812
80,-80.09822082519531
85,-97.83805847167969
90,-97.09037780761719
95,-86.01255798339844
100,-102.95230102539062
105,-99.85040283203125
110,-98.67384338378906
115,-87.92707824707031
120,-102.6900634765625
125,-78.94164276123047
130,-101.62439727783203
135,-85.54998016357422
140,-83.83794403076172
145,-97.3685073852539
