Iteration,Average Returns
0,-1091.1176999012564
5,-1167.7291299387784
10,-1439.707664760509
15,-1431.0920715440582
20,-1342.0655330330294
25,-1993.734375199507
30,-1505.3633950670646
35,-1384.0872517101946
40,-1336.4130879158158
45,-1555.0075787758576
50,-1513.8908847130876
55,-1485.5267407610704
60,-1518.7622041556217
65,-1541.000932947443
70,-1729.9461495520063
75,-1621.7482851755371
80,-1702.011712620532
85,-1583.0633447526293
90,-1516.4290929820897
95,-1565.4529518663996
100,-1677.7883334894639
105,-1541.9474708509708
110,-1522.378578480423
115,-1536.8798803209381
120,-1572.5645205089334
125,-1627.5280158047021
130,-1530.4867398192698
135,-1491.7715810940606
140,-1726.7767299834213
145,-1640.310754016807
