Average Returns,Iteration
-1105.5358252315016,0
-1131.8465129814504,5
-1136.2709952035302,10
-1198.311419632837,15
-1134.2386220802944,20
-1106.3215901974297,25
-1245.1631150153974,30
-1251.311260124013,35
-1127.2117151410475,40
-1196.8460372378431,45
-1390.1681447550427,50
-1422.3106594490596,55
-1304.3500109763231,60
-1381.5933300828362,65
-1259.4949135193879,70
-1201.2956162771882,75
-1458.4709019614122,80
-1433.5089174613108,85
-1358.5525159674708,90
-1414.1324464329095,95
-1398.1587089656346,100
-1106.1328567906519,105
-1292.3522955910616,110
-1153.6554043906483,115
-1228.5672057406578,120
-1176.842761158968,125
-1387.516304974505,130
-1152.4540065822662,135
-1231.3976420036552,140
-1178.963334540751,145
