Iteration,Average Returns
0,-1090.7133396164063
5,-1104.8471351524543
10,-1095.5207463390823
15,-1138.6857191661848
20,-1072.871144290455
25,-1095.965117576907
30,-1153.0704779057528
35,-568.7906147695745
40,-1140.2194864273179
45,-710.7655088104771
50,-186.80679365661942
55,-208.7283677088394
60,-118.30793904653198
65,-97.62192578366384
70,-85.75449249715918
75,-85.49045791860738
80,-73.25242740839654
85,-78.23187303073495
90,-75.6637708531292
95,-76.47554133871535
100,-76.01238429950027
105,-78.73531031924915
110,-80.12299911068428
115,-80.74352538834808
120,-80.65214165142146
125,-83.11729003061652
130,-81.67890143971422
135,-83.63940714398473
140,-87.3463150314697
145,-82.17086297443977
150,-85.35980956220016
155,-86.30588360158671
160,-88.48895650158589
165,-83.64075206205892
170,-84.41323991972979
175,-84.72613463150033
180,-91.63327529101919
185,-89.76054263827703
190,-88.41065191838749
195,-89.20041235297465
200,-89.15901588228522
205,-88.234118431835
210,-87.7441209182564
215,-85.93828069425288
220,-91.55017828453431
225,-88.0042666733834
230,-86.86445325559204
235,-87.92964637137837
240,-94.33026894302016
245,-95.82540625956793
249,-90.93891963311715
