Average Returns,Iteration
-320.5071833945567,0
-195.8271925510061,10
-65.58848484353287,20
-83.91547847247826,30
-122.22713987341841,40
-136.44072894497265,50
-141.95937157186168,60
-112.94502969804986,70
-117.66033262583909,80
-129.5340981775955,90
-124.669885569408,100
-143.97961655266755,110
-125.50798314811473,120
-113.19974308188793,130
-107.42474833752924,140
-115.36634707052279,150
-116.35578311190837,160
-107.70949475693685,170
-125.71504378070692,180
-125.00536860163211,190
-99.24902008585038,200
-97.32401109347728,210
-117.36266439061836,220
-110.76935614973671,230
-107.56105474211378,240
-122.98465442032251,249
