Iteration,Average Returns
0,-1175.0530858039817
10,-488.5148530913518
20,-62.72159824699726
30,-68.93448318241045
40,-78.94444147776895
50,-108.489435482542
60,-97.51334708611353
70,-102.77677303985841
80,-112.7723864570347
90,-124.03333653161266
100,-103.46076744129577
110,-96.86144589437994
120,-96.86067555527589
130,-116.959181774138
140,-101.6382218949294
150,-113.64591154772992
160,-98.78866255445514
170,-94.9121038566703
180,-103.6975855312141
190,-96.24210220636434
200,-100.74951943969427
210,-122.0421943365822
220,-120.28927229985158
230,-109.19990373087884
240,-99.36004182851647
249,-100.74549093172104
