Iteration,Average Returns
0,-1396.667327423777
10,-1194.8589866177979
20,-1273.933699685784
30,-1177.2648033705586
40,-1354.5678591376068
50,-1139.0722258577289
60,-1348.0225918002593
70,-2457.935060644364
80,-1507.9688307409806
90,-1226.8167846139922
100,-1610.4762682091514
110,-1098.0164095696346
120,-1095.0031456020984
130,-1098.0164095696346
140,-1092.3893247520002
150,-1093.605514980896
160,-1103.5009875248982
170,-1095.0031456020984
180,-1103.5009875248982
190,-1103.5009875248982
200,-1098.0164095696346
210,-1107.824679942231
220,-1103.5009875248982
230,-2443.175419774478
240,-2457.616164100083
249,-2001.5191909820737
