Average Returns,Iteration
-1092.3005760042693,0
-1093.5656363579435,10
-1184.8979638666715,20
-2980.2099113023023,30
-2324.144444857842,40
-2301.909263248356,50
-2248.8139494112224,60
-2315.8836583885786,70
-2292.9262947823395,80
-2271.1688781653424,90
-2344.830730756465,100
-1627.192076981713,110
-1892.2635170275528,120
-1253.7231176019995,130
-1216.9681189741414,140
-1578.647497874547,150
-1602.810699887234,160
-1313.614519601496,170
-1192.4274332918385,180
-1150.495828955853,190
-1259.824058208062,200
-1152.1815490615616,210
-1216.9593986122293,220
-1532.781070960583,230
-1241.107995478666,240
-940.8315618608433,249
