Average Returns,Iteration
-1091.1176999012564,0
-1153.6454396447991,5
-1153.5247959069807,10
-1210.9859802793474,15
-1526.0996348469166,20
-1513.349701150396,25
-1421.5937524082537,30
-1562.6887794841257,35
-1602.7207472740806,40
-1803.3320929782128,45
-1791.0893315959029,50
-2157.9003627687334,55
-2129.794511396749,60
-2213.9112649329854,65
-2255.610144870701,70
-2262.511931195975,75
-2270.575608147981,80
-2245.919014508702,85
-2251.4859052451184,90
-2310.745235627367,95
-2322.270130885873,100
-2244.856026874839,105
-2269.8489705033776,110
-2341.555568807434,115
-2310.25184232835,120
-2240.927312295556,125
-2281.0305897894073,130
-2357.3638376170047,135
-2294.2609500075846,140
-2251.3081084364962,145
