n_timesteps,train-EnvExecTime,train-NumTrajs,Time-SampleProc,train-PolicyExecTime,Itr,Time-Sampling,Time,train-StdReturn,LossBefore,train-MaxReturn,train-MinReturn,ItrTime,train-AverageDiscountedReturn,LossAfter,Time-Optimization,train-AverageReturn
10000,2.4422757625579834,100,0.027967453002929688,13.220573902130127,0,15.899174451828003,16.214155912399292,33.63116970360698,-1.41924365e-05,34.81570245967794,-133.686842622688,16.214155912399292,-23.575111715326535,0.050008927,0.2839999198913574,-37.892943026642214
20000,2.498690128326416,100,0.027029752731323242,13.351206302642822,1,16.106992721557617,32.611143350601196,32.92943443188507,-1.4283419e-05,30.102382264773155,-121.71437565154609,16.38199019432068,-25.404866722931384,0.0011439987,0.24796772003173828,-40.14863697125192
30000,2.4726006984710693,100,0.021997690200805664,13.543043375015259,2,16.273993968963623,49.16613483428955,34.488307733250444,-1.4390541e-05,44.11566678389131,-133.35021230914327,16.541991233825684,-19.93131695723615,-0.01455115,0.24499964714050293,-32.6935112782094
40000,2.5374717712402344,100,0.02399754524230957,13.479169130325317,3,16.26872181892395,65.72285437583923,32.55298794898908,-1.4505167e-05,67.37587843880306,-100.4411376672041,16.542720317840576,-17.90250939993459,-0.013835502,0.2500009536743164,-27.921672643781754
50000,2.5415542125701904,100,0.031000375747680664,13.4869384765625,4,16.277992010116577,82.29384517669678,32.24325595173201,-1.45058875e-05,36.70505408248364,-103.12390537160589,16.55799150466919,-18.398015692682176,-0.0154076945,0.24799895286560059,-29.73122998334637
60000,2.537043809890747,100,0.030997276306152344,13.495469570159912,5,16.318009614944458,98.90985178947449,31.762609742858924,-1.4478234e-05,39.205491556848244,-99.94532840538123,16.603007793426514,-15.537210031293505,-0.014272315,0.2540009021759033,-25.06383848706073
70000,2.5367965698242188,100,0.027965784072875977,13.580297470092773,6,16.372023582458496,115.56584215164185,30.008584880104557,-1.4399035e-05,26.69788300934843,-110.86764140182616,16.641990661621094,-15.844242411363625,-0.016368324,0.24200129508972168,-24.633766971819863
80000,2.547150135040283,100,0.02699875831604004,13.36750602722168,7,16.168989419937134,132.02283239364624,29.697904592000935,-1.4307035e-05,52.21521349374132,-101.79117270929216,16.442989110946655,-16.023706919164052,-0.013785427,0.24700093269348145,-24.46120778431834
90000,2.563652276992798,100,0.030001401901245117,13.461023569107056,8,16.279242277145386,148.59407210350037,26.067682143292078,-1.4260192e-05,59.17814293880251,-75.02175260914362,16.55824041366577,-10.742088322366307,-0.01430303,0.24699640274047852,-16.82715009232736
100000,2.6052775382995605,100,0.021999120712280273,13.399284839630127,9,16.25899028778076,165.1360626220703,28.912049457700576,-1.41653045e-05,49.48188733975635,-115.69003961129543,16.528991222381592,-11.810039862031909,-0.013930865,0.24700117111206055,-20.020859318871153
110000,2.581932306289673,100,0.0260009765625,13.629739761352539,10,16.48199152946472,181.91105365753174,26.838401917361956,-1.4058379e-05,68.0448465635634,-109.63923138424073,16.761991024017334,-9.49931802098732,-0.016961277,0.25099968910217285,-15.411693965700568
120000,2.613220453262329,100,0.028967618942260742,13.327279329299927,11,16.204023361206055,198.4030420780182,29.92748298937547,-1.3873649e-05,34.99490001124323,-130.5300530642841,16.477988243103027,-8.778309097624494,-0.01588512,0.24499726295471191,-15.228672970820964
130000,2.593747138977051,100,0.026996135711669922,13.363967418670654,12,16.21499490737915,214.916033744812,27.26145514385527,-1.3650852e-05,45.1252610168274,-88.43573965375897,16.49999237060547,-8.425975503950413,-0.014720951,0.25800132751464844,-13.045052548995702
140000,2.5657331943511963,100,0.027995586395263672,13.122185707092285,13,15.936993837356567,231.142023563385,25.774521848299536,-1.3480417e-05,43.39392086396764,-104.85951583745012,16.21199059486389,-7.425848598219476,-0.014019298,0.2460017204284668,-11.46313675295081
150000,2.5198419094085693,100,0.02396559715270996,13.365249633789062,14,16.137993335723877,247.56601333618164,26.39354947105599,-1.3303388e-05,59.86951724438945,-81.67410368069216,16.410991668701172,-7.577218705679303,-0.01664776,0.24600005149841309,-12.636690428115546
160000,2.6242799758911133,100,0.027997255325317383,13.654845237731934,15,16.534992933273315,264.42500352859497,28.435652959764315,-1.3101544e-05,44.579616279105345,-76.25743648476075,16.845990657806396,-8.150017766658983,-0.016284343,0.2460005283355713,-13.025154134007881
170000,2.563540458679199,100,0.026969432830810547,13.216253757476807,16,16.069023847579956,280.78999304771423,29.18035974805053,-1.2906046e-05,69.06253135567479,-88.57613004264442,16.351991415023804,-5.319675079770468,-0.01533008,0.25499820709228516,-8.55323644076565
180000,2.568232536315918,100,0.02196478843688965,13.38108491897583,17,16.2180233001709,297.2879829406738,28.445671654311752,-1.26947625e-05,51.204628542278066,-89.39483125080625,16.48399066925049,-5.909062542498759,-0.014355006,0.24300050735473633,-9.131454845297625
190000,2.520219564437866,100,0.028969526290893555,13.319594860076904,18,16.107406854629517,313.6873564720154,22.857438433261137,-1.2554866e-05,41.57028993228118,-67.67786054112779,16.385373830795288,-9.054172702793421,-0.016306892,0.24899744987487793,-14.049109286012913
200000,2.444117307662964,100,0.029961109161376953,13.561330080032349,19,16.24800705909729,330.22732377052307,28.502695967606805,-1.2410548e-05,59.336989359606726,-103.62858263079474,16.526967763900757,-9.660968298826798,-0.016058289,0.24799847602844238,-14.992192585413827
210000,2.59901762008667,100,0.02996516227722168,13.499952793121338,20,16.352023124694824,346.88931488990784,23.793014954540606,-1.2313677e-05,41.35564896829122,-85.27817306640088,16.647989988327026,-4.53790127545857,-0.015127823,0.26400017738342285,-8.29096119433628
220000,2.4512779712677,100,0.031965017318725586,13.65602707862854,21,16.362024545669556,363.5443036556244,23.6904775362073,-1.2125274e-05,42.41071697150814,-74.10741573735802,16.640989780426025,-6.6183794779555205,-0.016800141,0.24700021743774414,-11.170067430982655
230000,2.600127696990967,100,0.02899932861328125,13.451895713806152,22,16.295380353927612,380.12468433380127,24.91924519078962,-1.195019e-05,57.463846134447536,-74.93532766804691,16.567380666732788,-3.3158220518187558,-0.014009458,0.24300098419189453,-6.249762627037857
240000,2.600752592086792,100,0.02700018882751465,13.447252035140991,23,16.333990573883057,396.7556743621826,27.207989902075184,-1.1821689e-05,54.3753208252108,-97.0745594589824,16.617990493774414,-5.71076162371173,-0.016588427,0.2569997310638428,-9.530557615251793
250000,2.5174942016601562,100,0.022966623306274414,13.690868139266968,24,16.452844381332397,413.49648451805115,25.331629644655923,-1.167325e-05,57.03981192885011,-74.89179294419554,16.726811408996582,-4.45225236191289,-0.018300256,0.25100040435791016,-7.940488520153581
260000,2.4314799308776855,100,0.026971101760864258,13.491355657577515,25,16.186019897460938,429.972473859787,22.5468240601068,-1.1528778e-05,67.29338697753522,-54.86776557387268,16.461988925933838,-3.683316704249409,-0.01459133,0.24899792671203613,-6.041777803990341
270000,2.5872819423675537,100,0.0299685001373291,13.74616026878357,26,16.575960636138916,446.8454022407532,26.091938555144427,-1.1441124e-05,50.116859736790374,-83.92944568843724,16.859928846359253,-2.2661093188987693,-0.015295637,0.25299954414367676,-3.757883488297761
280000,2.5910210609436035,100,0.021967411041259766,13.398981809616089,27,16.284021615982056,463.4073929786682,22.559569599234518,-1.1343e-05,51.35368786332421,-88.93154753974777,16.548990964889526,-2.287596179457976,-0.014837365,0.24200177192687988,-4.660680199554827
290000,2.4848926067352295,100,0.024968624114990234,13.284820795059204,28,16.042022466659546,479.7413821220398,26.282546588183394,-1.1259748e-05,60.21629611810024,-91.55051247428462,16.320990324020386,-0.9643297222766611,-0.017203458,0.2519991397857666,-1.8419548004897859
300000,2.5172648429870605,100,0.022997617721557617,13.540104866027832,29,16.31099247932434,496.3423738479614,28.385378147304237,-1.1151633e-05,49.091222859538874,-104.50937447472944,16.58799171447754,-4.154744741313431,-0.016411686,0.2540016174316406,-6.762555729044252
310000,2.517712116241455,100,0.02896904945373535,13.515453338623047,30,16.292022228240967,512.9273626804352,23.207508586411393,-1.1053676e-05,53.40196973485314,-61.96313863424944,16.571990251541138,-0.7401555985579439,-0.017042132,0.2499997615814209,-1.2059203219205337
320000,2.4495456218719482,100,0.02699589729309082,13.446777105331421,31,16.13870930671692,529.3500673770905,24.73209886229674,-1.0887288e-05,51.37831188706755,-61.89569571784458,16.409705638885498,-1.2451663175182417,-0.015150112,0.24200057983398438,-2.3366230535148156
330000,2.5399250984191895,100,0.02499985694885254,13.486566066741943,32,16.270812034606934,545.9188799858093,25.520292498673665,-1.0762498e-05,53.51667046198381,-80.63257896615063,16.55481219291687,-0.6989094244952639,-0.016811695,0.259000301361084,-1.38739900500943
340000,2.5431840419769287,100,0.02696514129638672,13.410593032836914,33,16.203025579452515,562.4068717956543,23.32202680946652,-1.0599785e-05,66.34471516274247,-95.3899280809937,16.473992347717285,0.8484992618479577,-0.01598509,0.2440016269683838,1.102779164256977
