n_timesteps,train-AverageReturn,Time-SampleProc,train-StdReturn,train-EnvExecTime,train-PolicyExecTime,Time-Sampling,Time,train-NumTrajs,train-AverageDiscountedReturn,train-MinReturn,Itr,train-MaxReturn,LossBefore,ItrTime,LossAfter,Time-Optimization
10000,-43.09266475468268,0.032967329025268555,33.42200224991454,2.7716221809387207,14.580525398254395,17.615032196044922,17.975992679595947,100,-26.848336863900137,-109.63677054957441,0,25.731913742940538,-1.4188622e-05,17.975992679595947,0.033538338,0.326998233795166
20000,-41.99471971899753,0.02500152587890625,34.34544733458359,2.8885111808776855,15.03135085105896,18.21499800682068,36.52798843383789,100,-26.633136596654445,-155.89274155794251,1,27.21758635436218,-1.4225795e-05,18.53699541091919,0.006772183,0.2949986457824707
30000,-41.66941778201243,0.030998706817626953,33.42326907933009,2.9937078952789307,15.062228202819824,18.37199568748474,55.26098585128784,100,-26.540567772675416,-129.36179137250016,2,29.4593312179261,-1.4319197e-05,18.718994855880737,-0.010437729,0.31200146675109863
40000,-34.11550160900665,0.03200078010559082,30.861791132292517,3.4838879108428955,17.570992946624756,21.42099404335022,77.0329818725586,100,-21.012145986747836,-112.02925180290924,3,45.89999729785727,-1.4369064e-05,21.756995916366577,-0.013217706,0.3040010929107666
50000,-31.719062852465427,0.02800130844116211,34.550050838071996,3.3171186447143555,16.16479802131653,19.809995651245117,97.18597722053528,100,-19.706204547899492,-141.80885590445115,4,26.15631652861996,-1.43498355e-05,20.136997938156128,-0.014153018,0.29799985885620117
60000,-32.03080900922126,0.0260009765625,33.04449355377489,2.948975086212158,14.99800968170166,18.327996730804443,115.86897468566895,100,-19.951091656501738,-121.30263591641692,5,44.27157306614756,-1.4333683e-05,18.66699767112732,-0.013731956,0.312999963760376
70000,-31.04576672414868,0.03099966049194336,31.63812340583029,3.214604139328003,15.85249137878418,19.411996126174927,135.63997054100037,100,-20.053578543409866,-107.62368103076567,6,45.96970985998194,-1.428243e-05,19.754996061325073,-0.013970001,0.3110008239746094
80000,-34.357079346753885,0.03199958801269531,30.970027815321952,3.3613245487213135,16.57352638244629,20.294995069503784,156.27996706962585,100,-21.05791877665938,-126.25956614356585,7,64.86804143335353,-1.4221161e-05,20.62499737739563,-0.015262017,0.2980027198791504
90000,-24.986612318914858,0.0279996395111084,30.932931940568373,3.056588888168335,15.3622305393219,18.759998083114624,175.3849630355835,100,-15.572507071508033,-105.84719470230338,8,39.233768978712966,-1.4098234e-05,19.089998722076416,-0.014416302,0.30100083351135254
100000,-34.61320484825693,0.0279996395111084,29.48824895522686,3.0491340160369873,14.800865650177002,18.160998582839966,193.8939573764801,100,-21.329048251884355,-117.86925182119268,9,22.537547154019215,-1.3965984e-05,18.49399733543396,-0.0122014135,0.3040008544921875
110000,-28.653133176204463,0.032000064849853516,27.21148110916988,3.077578067779541,15.119210720062256,18.51399803161621,212.7629554271698,100,-18.0684114367415,-104.66867968253061,10,32.84798288722607,-1.382646e-05,18.85399889945984,-0.0144278975,0.30500102043151855
120000,-28.582704904329045,0.024998903274536133,30.163307148733406,3.215630054473877,15.859408378601074,19.395996809005737,232.49394989013672,100,-18.108754940353432,-136.0503737045469,11,41.36995098522853,-1.3706476e-05,19.715996265411377,-0.013720565,0.29400086402893066
130000,-26.649905190338085,0.029996633529663086,26.485101112661876,3.0412967205047607,15.068676710128784,18.44699716567993,251.30194807052612,100,-16.480636587388787,-111.65155003713068,12,25.267850216828453,-1.3615792e-05,18.79299831390381,-0.013650324,0.313002347946167
140000,-31.61580501253436,0.029996156692504883,30.22313647422149,2.9094996452331543,14.792506217956543,17.994999408721924,269.64794063568115,100,-19.06127512491553,-124.2922797412218,13,47.46288971721752,-1.3519406e-05,18.32799458503723,-0.014864084,0.3019998073577881
150000,-26.678462420616967,0.031031370162963867,28.876106812598245,2.9584298133850098,14.972371578216553,18.256996870040894,288.2469389438629,100,-16.523909813625853,-118.90654250752125,14,28.02839208891261,-1.3424724e-05,18.583997011184692,-0.015827827,0.29400086402893066
160000,-20.793129792141503,0.028998613357543945,23.91448747213065,2.9309301376342773,14.860751152038574,18.11099672317505,306.70593523979187,100,-13.490402736838321,-102.25002410081979,15,40.396037613235514,-1.3297914e-05,18.443995714187622,-0.013629628,0.30300021171569824
170000,-18.459320578418875,0.034001827239990234,27.116412412078695,3.0495057106018066,15.168393611907959,18.579994440078735,325.7539336681366,100,-12.396281453893732,-89.88501171154715,16,39.838182907925955,-1.3243875e-05,19.032998085021973,-0.014125417,0.418001651763916
180000,-26.138086826702075,0.031999826431274414,28.251881264943222,3.5070884227752686,17.48888373374939,21.380992889404297,347.5059275627136,100,-16.293651679723716,-136.3553824779073,17,22.7894541323979,-1.3164236e-05,21.72599148750305,-0.014205212,0.30700135231018066
190000,-21.937565318678384,0.030998945236206055,28.29099953911007,3.1660592555999756,15.548086643218994,19.031996726989746,366.90392541885376,100,-12.881980221940234,-131.34316447105056,18,34.22175651792189,-1.3117099e-05,19.381998300552368,-0.01296313,0.31800270080566406
200000,-24.002674058222638,0.031000852584838867,24.12266536663293,3.0554628372192383,15.143369913101196,18.533995151519775,385.8019196987152,100,-15.677924867605414,-83.52626198771681,19,45.59171968525592,-1.3027203e-05,18.877995014190674,-0.014762996,0.3099997043609619
210000,-17.336789586377005,0.03600144386291504,27.74400452236659,3.198418378829956,15.965499877929688,19.51599907875061,405.7349171638489,100,-10.530185837468064,-125.6251145770302,20,47.032564198509405,-1.2971707e-05,19.913996934890747,-0.014522667,0.36099696159362793
220000,-20.965109967682324,0.033997535705566406,23.870294151988517,3.141860008239746,15.542364835739136,19.033997535705566,425.1289122104645,100,-12.76378516739221,-82.605485450842,21,40.77409480498712,-1.2974714e-05,19.373997688293457,-0.015765715,0.3060026168823242
230000,-17.133987479985826,0.03000020980834961,25.85850509455119,3.05395245552063,15.228058576583862,18.611993074417114,444.1059079170227,100,-10.105734099819815,-111.97328985688183,22,48.155331866902635,-1.3009239e-05,18.956990957260132,-0.013594967,0.3120005130767822
240000,-18.85333788264397,0.030002355575561523,26.997762661546226,3.1627275943756104,15.536260604858398,19.03399419784546,463.49290561676025,100,-11.065551668554464,-96.07544703787048,23,46.39397666087568,-1.3024582e-05,19.369997262954712,-0.0149673205,0.3060007095336914
250000,-15.167164188992707,0.039002418518066406,24.059301480700338,3.2225098609924316,16.038609743118286,19.58399534225464,483.4719035625458,100,-9.459586510822406,-82.74423475891363,24,33.66091942743488,-1.2986279e-05,19.963000297546387,-0.014322116,0.34000253677368164
260000,-19.37868360117593,0.027997970581054688,27.827882607298235,3.1892354488372803,15.542602300643921,19.065998315811157,502.8938956260681,100,-11.784399119221426,-97.03150447733418,25,66.97998573447516,-1.295224e-05,19.398996829986572,-0.014930041,0.30500054359436035
270000,-18.783323141718764,0.02899765968322754,24.213948494462496,3.2584424018859863,16.093397617340088,19.671996355056763,522.9188914299011,100,-11.967489948089257,-97.62492929585996,26,42.89151349335966,-1.2987882e-05,20.009994506835938,-0.013804318,0.30900049209594727
280000,-13.474965238384625,0.03698277473449707,28.829396944871412,3.211472272872925,15.745126962661743,19.320011615753174,542.6258885860443,100,-8.627906379555519,-86.01738612221567,27,56.5096028170458,-1.30345015e-05,19.688995599746704,-0.01549717,0.3300001621246338
290000,-11.485745797322991,0.03400421142578125,24.669747750956493,3.436932325363159,16.709076166152954,20.517995357513428,563.5358848571777,100,-6.9792128261680215,-77.38381449231841,28,53.88925862297074,-1.3002511e-05,20.88799524307251,-0.013842429,0.33499741554260254
300000,-13.165744226135013,0.031002283096313477,29.265437659941167,3.0767910480499268,15.103006601333618,18.511993646621704,582.4328818321228,100,-8.932844772540228,-74.06326125137926,29,80.23324816990693,-1.2983203e-05,18.872995138168335,-0.014875453,0.323000431060791
310000,-17.89961952896094,0.037999629974365234,25.554499839211523,3.431785821914673,16.799114227294922,20.61399221420288,603.4778788089752,100,-11.210254363448577,-105.58014897288419,30,28.741746040056448,-1.2933899e-05,21.00299859046936,-0.017634416,0.34600305557250977
320000,-12.898540843521896,0.05200052261352539,25.8809551284938,3.265866279602051,15.984211921691895,19.60899591445923,623.5928730964661,100,-7.84120182311589,-87.96371543058876,31,37.9339966307583,-1.2815287e-05,20.086994409561157,-0.013557912,0.4220004081726074
330000,-12.905717340726948,0.0709991455078125,28.47448549800004,3.1332576274871826,15.268667936325073,18.725995540618896,642.805867433548,100,-8.322282193150873,-82.3803479220083,32,66.20777443166695,-1.2748638e-05,19.198996543884277,-0.014062083,0.4009993076324463
340000,-5.823641423317173,0.06399250030517578,32.09070465201705,3.1713294982910156,15.901762962341309,19.421995878219604,662.6498651504517,100,-4.222633622206882,-92.06911936532248,33,89.58122648322367,-1.2661675e-05,19.828996896743774,-0.01434243,0.3379988670349121
350000,-7.2996588921603545,0.04000043869018555,27.905778629474234,3.279788017272949,15.8051917552948,19.399996042251587,682.4858617782593,100,-5.293788333313419,-129.09701095067763,34,48.13586056803517,-1.2513326e-05,19.81899857521057,-0.016145848,0.3730003833770752
360000,-7.300188224488233,0.03599810600280762,29.902702724102856,3.122626304626465,15.71341061592102,19.147995233535767,702.0248553752899,100,-4.90188690944263,-77.59995013935958,35,53.55662940660624,-1.2351256e-05,19.517992973327637,-0.015249746,0.33300018310546875
370000,-10.934667032434204,0.03000044822692871,28.08683864988024,3.1880152225494385,15.618931531906128,19.147996187210083,721.5338523387909,100,-7.354210199830759,-134.96157509384605,36,64.61568720869418,-1.2135223e-05,19.49299669265747,-0.014416043,0.3139994144439697
380000,-10.238228197739014,0.031000614166259766,28.613964424696412,2.955751419067383,14.938178777694702,18.189996242523193,740.0668494701385,100,-6.972035278165716,-88.68551827464293,37,81.65680151839103,-1.1970909e-05,18.517997980117798,-0.016359976,0.29600024223327637
390000,-3.9595798416056054,0.030001163482666016,29.83530090203391,3.0018668174743652,14.698124647140503,18.059995412826538,758.4898478984833,100,-3.4746435971330683,-68.72897863422776,38,57.87713857812482,-1.1787366e-05,18.404999256134033,-0.01574747,0.3150026798248291
400000,-0.09253350125134287,0.031000375747680664,27.239446284490775,3.0684380531311035,14.957525491714478,18.34999680519104,777.1868412494659,100,-0.9618246470354588,-89.73002316400579,39,70.24628460178573,-1.1581822e-05,18.680997133255005,-0.0150309075,0.2989997863769531
410000,0.7312625497262283,0.03300023078918457,29.264083729912013,3.08809232711792,15.38869023323059,18.807996034622192,796.3418374061584,100,0.15523566301171077,-69.689249375428,40,119.7494809944475,-1.1451451e-05,19.138996839523315,-0.013330063,0.2969996929168701
420000,0.17411341609449132,0.0350039005279541,27.098490835350198,3.276501417160034,15.601426362991333,19.168996334075928,815.9068353176117,100,-0.9658923048138055,-90.06465473935644,41,68.13246003206426,-1.13139195e-05,19.55099892616272,-0.016575933,0.34599828720092773
430000,4.736005861661613,0.02999734878540039,27.038404762818534,3.0727944374084473,15.323190212249756,18.717997074127197,834.9808306694031,100,2.2897146560225172,-69.4997960672541,42,87.52906040648327,-1.1237291e-05,19.057995557785034,-0.016016485,0.3100011348724365
440000,3.9574638654380876,0.030997037887573242,29.174121305700496,3.191934585571289,15.916160106658936,19.41599678993225,854.7648253440857,100,1.6565840211609757,-60.166480103637,43,87.68861765693049,-1.1181966e-05,19.76599669456482,-0.013991147,0.31599903106689453
450000,6.006391223148809,0.02700042724609375,28.731508170211953,3.1728289127349854,15.440118312835693,18.936995267868042,874.0408210754395,100,2.620198369398547,-116.20538688161623,44,75.44184595013554,-1.1102237e-05,19.260994911193848,-0.014318606,0.2969992160797119
460000,-3.2001275389153885,0.030997753143310547,26.345528001247796,3.07224702835083,15.718602180480957,19.105998516082764,893.6808176040649,100,-2.8754746657070367,-63.80539715488534,45,74.75990718907153,-1.1040668e-05,19.625996112823486,-0.012618185,0.48799991607666016
470000,7.654035741233234,0.029999732971191406,29.10580933859098,3.0937905311584473,15.819113731384277,19.236993074417114,913.2788136005402,100,3.6780989384651637,-64.85634980219632,46,100.3388540409231,-1.0973697e-05,19.579993724822998,-0.0121589415,0.3100011348724365
480000,9.120880249383879,0.0279998779296875,31.319047132930503,3.1286728382110596,15.502050161361694,18.962996006011963,932.5888113975525,100,4.7106375308396125,-59.045982804598644,47,105.41779267981575,-1.089256e-05,19.291996240615845,-0.014105321,0.29900217056274414
490000,6.744599724859435,0.030999422073364258,28.308987125207565,3.049206018447876,15.265674352645874,18.645993947982788,951.6088078022003,100,2.976000752985287,-97.09881031048289,48,68.79067497087208,-1.0847213e-05,19.004996061325073,-0.012725856,0.3280026912689209
500000,6.955762422297786,0.03300118446350098,32.08323317324761,3.057906150817871,15.59812879562378,19.039994716644287,971.0088024139404,100,4.321052154452831,-78.92820527147028,49,135.73648250590375,-1.0825504e-05,19.383997201919556,-0.013737078,0.3100001811981201
510000,7.561188309618342,0.0299985408782959,29.066874060455522,3.1094701290130615,15.51546859741211,18.947996616363525,990.3037991523743,100,4.375759419480168,-70.00113390267782,50,82.30905561595637,-1.0798922e-05,19.278997659683228,-0.011656194,0.3000016212463379
520000,9.576537941921853,0.03099989891052246,27.96823524572893,3.01127552986145,15.478585004806519,18.8119957447052,1009.4637937545776,100,4.9978290935336736,-55.19947130185096,51,87.90352064046463,-1.0733438e-05,19.14499592781067,-0.01463151,0.30100035667419434
530000,15.444784299881318,0.028001070022583008,27.35070258423391,3.124530792236328,16.149049520492554,19.605995655059814,1029.418790102005,100,8.011204645720323,-64.0168343795815,52,84.59834118870285,-1.065908e-05,19.93799662590027,-0.01376504,0.3019990921020508
540000,13.313647708626311,0.029998779296875,32.0969297511612,3.1209285259246826,15.598851442337036,19.064996004104614,1048.8517889976501,100,7.4948946597698,-61.07802651236808,53,95.93046415780377,-1.0500686e-05,19.41799831390381,-0.015432809,0.32300353050231934
550000,13.260677666810727,0.029999494552612305,27.94070240246802,3.1897478103637695,15.669053316116333,19.195995092391968,1068.4077842235565,100,6.370858064373347,-52.41513700157428,54,80.42716741202963,-1.0323e-05,19.537997245788574,-0.013877944,0.3110024929046631
560000,18.13369647661228,0.034030914306640625,30.310981983326514,3.253649950027466,16.26920747756958,19.841996908187866,1088.6667783260345,100,10.957825376910842,-74.98446615360028,55,104.28331876186273,-1.013722e-05,20.244995594024658,-0.015687723,0.3659992218017578
570000,17.563074088370215,0.0299990177154541,32.03730563330829,3.171828269958496,15.6368567943573,19.135992765426636,1108.1457760334015,100,9.55100520167782,-85.26811901968166,56,94.422278427361,-9.958478e-06,19.462996006011963,-0.014550991,0.29400181770324707
580000,18.081720862184493,0.02899909019470215,30.78928277368785,3.172682285308838,15.991226434707642,19.507996320724487,1128.0057718753815,100,9.22355947686173,-63.623906371249454,57,85.3965329438256,-9.8022065e-06,19.845997095108032,-0.014189123,0.30700230598449707
590000,17.578975668581553,0.03400015830993652,27.587764081178403,3.189905881881714,15.968809843063354,19.52399754524231,1147.9037680625916,100,9.442495377956924,-33.42722928748246,58,94.62199405587702,-9.665875e-06,19.8829984664917,-0.015569059,0.3250007629394531
600000,17.304085704780558,0.030999183654785156,29.838351262391,3.096160411834717,15.80078911781311,19.23399567604065,1167.4877638816833,100,9.28204536230793,-76.14149417010508,59,101.56983786436139,-9.488104e-06,19.56599712371826,-0.014716108,0.3000011444091797
610000,19.05284205121344,0.028999805450439453,26.00532450746156,3.116878032684326,15.48104214668274,18.98399543762207,1186.8197617530823,100,10.91630198634455,-38.73998697119845,60,97.86794442869316,-9.292349e-06,19.31599712371826,-0.014837457,0.3020026683807373
620000,24.14073738192993,0.024999380111694336,24.70425061550496,3.0178568363189697,14.680009841918945,18.004994869232178,1205.15975522995,100,13.153769582566365,-27.33412150063627,61,108.54310850142902,-9.095732e-06,18.324995517730713,-0.014543285,0.2930014133453369
630000,26.838526501205983,0.028996706008911133,30.042361402609263,3.0915772914886475,15.459343194961548,18.863999843597412,1224.367752313614,100,15.460708078121684,-53.379452886439104,62,123.90862663400716,-8.913738e-06,19.19299578666687,-0.014116719,0.29799962043762207
640000,21.409294672670057,0.03099846839904785,26.927880638792708,3.0644781589508057,15.505470991134644,18.907997131347656,1243.621749162674,100,11.831654780230226,-42.045124320255226,63,104.59897236185978,-8.700156e-06,19.236998319625854,-0.012839998,0.2980027198791504
650000,23.452010112442,0.030998706817626953,27.712902783225637,3.1306231021881104,15.11314868927002,18.560996294021606,1262.5567445755005,100,12.535127615856489,-52.76711180185855,64,88.12646091540935,-8.613987e-06,18.91799569129944,-0.012380653,0.3240013122558594
660000,23.367841224894295,0.030999183654785156,29.93618642927479,3.0442426204681396,15.118780136108398,18.4699969291687,1281.3807411193848,100,13.478576642119457,-45.00486009741198,65,115.50389103666082,-8.509341e-06,18.806997537612915,-0.015641104,0.30500102043151855
670000,19.65671696026263,0.031002283096313477,27.365167947495618,3.141683578491211,15.697445154190063,19.154996633529663,1300.8877356052399,100,10.419115438279015,-45.38624615749661,66,90.8506348238558,-8.286693e-06,19.491994380950928,-0.016699428,0.30399632453918457
680000,23.89405036319029,0.0280001163482666,29.362625308778316,3.0276787281036377,14.886296272277832,18.24899649620056,1319.4817321300507,100,12.465133224607673,-36.74797884233113,67,96.34781033113188,-8.074799e-06,18.57899570465088,-0.012079926,0.3019990921020508
690000,22.237283016122483,0.029999494552612305,28.530670338243592,2.971651077270508,15.08347225189209,18.36999797821045,1338.2037286758423,100,11.51090583078942,-51.279643121123364,68,99.51236206045043,-7.877864e-06,18.706995248794556,-0.009792951,0.3059971332550049
700000,24.783974343957947,0.024001598358154297,31.758343497152236,3.1251606941223145,15.247934579849243,18.681994199752808,1357.234724521637,100,13.743216478031348,-60.419531049713775,69,97.01276334797164,-7.678712e-06,19.011994123458862,-0.011557686,0.30499815940856934
710000,25.224514365238363,0.031029462814331055,29.194965982434436,3.148566246032715,15.553208589553833,19.01899552345276,1376.6687269210815,100,13.311980331721308,-67.07276402664658,70,94.24405006717559,-7.5190787e-06,19.41900134086609,-0.014669936,0.36800551414489746
720000,32.12004828566094,0.031000852584838867,27.395276990240617,3.2829158306121826,15.957047939300537,19.657994031906128,1396.684716463089,100,17.207087989059332,-44.426911260573,71,98.16161275836117,-7.3778006e-06,19.999992609024048,-0.01261074,0.30899786949157715
730000,29.769189484875465,0.03200030326843262,32.30107182269021,3.1917738914489746,15.55401873588562,19.072997331619263,1416.1077127456665,100,16.2444172150171,-35.51526039820873,72,123.07926636541119,-7.281863e-06,19.40799593925476,-0.016202236,0.30099987983703613
740000,26.699545005947762,0.03199934959411621,27.050665589383524,3.162065029144287,15.60881757736206,19.11099672317505,1435.5767107009888,100,14.987744268462027,-58.779458036230366,73,95.95283828385317,-7.1731665e-06,19.454996824264526,-0.014457662,0.311002254486084
750000,37.80515653593346,0.026000261306762695,31.674809047990937,3.327592134475708,16.080538988113403,19.744993448257446,1455.6607048511505,100,21.244112254981868,-49.09074623854695,74,105.01956619784453,-7.0781675e-06,20.067995309829712,-0.013945685,0.29400110244750977
760000,33.076195287663985,0.030999183654785156,29.769032879125604,3.288209915161133,15.876878261566162,19.520995616912842,1475.5427010059357,100,18.565285338319345,-43.863542866694644,75,121.93501462351779,-7.000662e-06,19.865995168685913,-0.012976949,0.31400036811828613
770000,35.908451681625884,0.0299990177154541,37.744418236251185,3.1493988037109375,16.030609369277954,19.56100034713745,1495.4756968021393,100,19.797881152949373,-67.28057369896479,76,143.39211909999622,-6.923908e-06,19.916996717453003,-0.013080392,0.32399916648864746
780000,40.185234788300214,0.031002044677734375,33.46011867618309,3.1331870555877686,15.579635858535767,19.062991857528687,1514.8896930217743,100,22.48722124647242,-49.515126310814765,77,133.5513901869575,-6.825645e-06,19.398993968963623,-0.01547366,0.3039989471435547
790000,39.24785553003531,0.03200078010559082,29.612660920243965,3.054865598678589,15.267105102539062,18.649994134902954,1533.9186906814575,100,22.375843072429888,-65.22658642192215,78,125.32860144759834,-6.692452e-06,19.013996124267578,-0.014870836,0.33100104331970215
800000,41.67867309793517,0.028999805450439453,31.65815467479839,3.0419726371765137,15.27500033378601,18.642995357513428,1552.918684720993,100,23.55103856585016,-50.27889414525861,79,138.91243299271483,-6.5756053e-06,18.980993509292603,-0.013786411,0.30899834632873535
810000,46.08588549440171,0.03199648857116699,34.03683275754108,2.999824285507202,14.808189392089844,18.092997074127197,1571.3556833267212,100,26.585144064073056,-80.39400311435706,80,123.87593980811369,-6.454621e-06,18.421996355056763,-0.011708554,0.2960033416748047
820000,43.879152849292716,0.03399825096130371,32.09776390659038,3.1690099239349365,15.729003429412842,19.23499822616577,1590.955679178238,100,25.065935421703287,-20.44720512803442,81,145.94306992586812,-6.3258835e-06,19.58599829673767,-0.013617572,0.3150002956390381
830000,46.72521763090017,0.027001619338989258,31.7796794130869,3.0699572563171387,15.21400499343872,18.650995016098022,1609.9686768054962,100,26.248159352810372,-15.177796447054314,82,128.94103123012397,-6.2128183e-06,18.99199867248535,-0.008680094,0.31400203704833984
840000,49.43258436986242,0.030997514724731445,30.19639791113436,3.1396493911743164,15.491154193878174,18.979995250701904,1629.2966709136963,100,27.469228704107714,-21.315773860197304,83,118.96073784305032,-6.0663315e-06,19.30999732017517,-0.010807928,0.29700231552124023
850000,50.93956105091502,0.040001869201660156,32.475032022295416,3.135772228240967,15.683027982711792,19.14699649810791,1648.8316659927368,100,28.87743087790595,-40.88569829693821,84,117.21084551496241,-5.857622e-06,19.519993543624878,-0.015597948,0.33099865913391113
860000,47.9671024513503,0.033997535705566406,35.1952435396004,3.2515738010406494,16.41820001602173,19.989998817443848,1669.1806626319885,100,26.30901231740463,-38.72125093932437,85,130.8597427940697,-5.60733e-06,20.332993984222412,-0.016282495,0.3060009479522705
870000,55.97876234084261,0.03300046920776367,33.62815782918699,3.2169315814971924,15.966944694519043,19.527995347976685,1689.0686581134796,100,30.827635003731572,-40.86046403306127,86,128.047767830729,-5.3882836e-06,19.87199568748474,-0.012859211,0.309999942779541
880000,55.55296476174261,0.03100132942199707,35.26200534474502,3.186194658279419,15.936728954315186,19.447994709014893,1708.9056553840637,100,31.122952478443054,-32.38319148411777,87,136.31723797426545,-5.185371e-06,19.8209969997406,-0.011372832,0.34200096130371094
890000,61.08262758368989,0.030000686645507812,31.861460169649853,3.060495615005493,15.237431764602661,18.64099621772766,1727.8966538906097,100,35.27759972211462,-35.48505403612679,88,134.0220071410022,-5.0349504e-06,18.975998640060425,-0.009333318,0.3020000457763672
900000,55.33955907145252,0.030999183654785156,33.33956798363156,3.065927505493164,15.275025844573975,18.646997213363647,1746.9076492786407,100,29.950123027736957,-21.93066909150896,89,139.40891360583933,-4.884819e-06,18.98899817466736,-0.014151988,0.31000208854675293
910000,57.58045975577263,0.031002521514892578,31.05803221453727,3.071261167526245,15.419623374938965,18.820997714996338,1766.0756425857544,100,31.69881109433161,-19.42124935495104,90,158.86722080487866,-4.7283297e-06,19.149994134902954,-0.01566923,0.29599714279174805
920000,60.22687548767963,0.03199911117553711,33.754672532214094,2.992656946182251,14.866370916366577,18.164995670318604,1784.631639957428,100,33.569806295229455,-19.71134533068235,91,154.85797576476858,-4.5007178e-06,18.540997743606567,-0.013460788,0.34199976921081543
930000,59.41841130689341,0.031002044677734375,34.75482126854763,3.180354595184326,15.858458518981934,19.366994619369507,1804.457636833191,100,33.77477315582346,-20.298158597453444,92,130.6421213999372,-4.240554e-06,19.806997776031494,-0.014286262,0.40800023078918457
940000,60.861347579169305,0.03799843788146973,32.637821462897456,3.261906623840332,16.539912223815918,20.22099757194519,1825.0946340560913,100,34.48969248153504,-26.504559491373065,93,135.77758532211524,-3.9933207e-06,20.6209979057312,-0.013913162,0.362001895904541
