train-AverageDiscountedReturn,train-EnvExecTime,LossBefore,Time-Optimization,Time-SampleProc,Time-Sampling,Time,train-StdReturn,Itr,n_timesteps,train-MinReturn,train-MaxReturn,ItrTime,train-PolicyExecTime,LossAfter,train-AverageReturn,train-NumTrajs
-27.759797750745665,2.5234456062316895,-1.4195489e-05,0.32399964332580566,0.04599905014038086,16.27992558479309,16.65195393562317,33.27652437839313,0,10000,-118.25933062581022,40.52054153016612,16.65195393562317,13.501710653305054,0.03093517,-42.484200721254794,100
-23.86172354766009,2.6899492740631104,-1.4210456e-05,0.247999906539917,0.028998136520385742,16.925956964492798,33.908907890319824,33.74603215113501,1,20000,-137.89595389617577,47.014881058971795,17.2029550075531,13.974016189575195,0.0040095733,-37.0382860625638,100
-22.16958587788685,2.579012870788574,-1.4268577e-05,0.25299811363220215,0.021001100540161133,16.622954845428467,50.82286214828491,35.16106636352836,2,30000,-111.06290346948964,52.49931946032073,16.89795446395874,13.786975860595703,-0.01198982,-34.335021507717784,100
-22.374070273858027,2.6089634895324707,-1.426755e-05,0.257000207901001,0.02900099754333496,16.652952909469604,67.77481651306152,39.88817090770712,3,40000,-130.27793195482275,46.19950475799191,16.93895411491394,13.786024808883667,-0.015871478,-36.20052248328662,100
-22.759745185697962,2.5851922035217285,-1.4317393e-05,0.25300097465515137,0.02899765968322754,16.75695514678955,84.82676959037781,30.79227384032534,4,50000,-109.8778417406568,41.646783014591605,17.03895378112793,13.884813785552979,-0.014074258,-34.87792333161124,100
-25.120213807505184,2.5600669384002686,-1.436629e-05,0.2729971408843994,0.02199721336364746,16.68495750427246,101.8227231502533,38.29773169921316,5,60000,-171.16152800723822,41.32568122292999,16.981953620910645,13.811933755874634,-0.013320529,-40.22177016975486,100
-18.37955367110215,2.572096586227417,-1.4424552e-05,0.2540016174316406,0.02299785614013672,16.731956243515015,118.8466784954071,24.213786111728123,6,70000,-109.82260716384062,14.7023622671842,17.009955644607544,13.889904975891113,-0.014873597,-28.962109630026557,100
-20.083819788322558,2.63092041015625,-1.4455334e-05,0.25099873542785645,0.019999980926513672,16.750955820083618,135.8816318511963,33.1266571566442,7,80000,-132.14116452903042,25.583647008702055,17.02195453643799,13.861050128936768,-0.014959843,-31.869183409077845,100
-20.233229259153894,2.583305597305298,-1.4435391e-05,0.24699854850769043,0.026997804641723633,16.690147399902344,152.85977745056152,30.787681667880864,8,90000,-119.81982208727216,44.499564722101184,16.965145111083984,13.845414400100708,-0.014921278,-32.09423004670502,100
-18.159545854549947,2.564852237701416,-1.44049645e-05,0.25300097465515137,0.02099776268005371,16.5669584274292,169.7147343158722,32.16674374470991,9,100000,-130.34774207211538,31.95015479847025,16.840957164764404,13.730640411376953,-0.01514774,-27.207891496540064,100
-20.484854038392722,2.560321807861328,-1.4351469e-05,0.2550027370452881,0.030965328216552734,16.76198720932007,186.7766878604889,28.35201357359868,10,110000,-102.72638747084902,35.40073254217692,17.04795527458191,13.947671175003052,-0.014237918,-31.17175924021559,100
-17.68490001663979,2.5985724925994873,-1.4253237e-05,0.252000093460083,0.02096414566040039,16.748444080352783,203.8120939731598,31.068827468729953,11,120000,-111.39082923668083,50.497326872243576,17.022408485412598,13.878321886062622,-0.015486501,-27.330420007658393,100
-17.85904343170391,2.582592725753784,-1.4208055e-05,0.25099968910217285,0.019968509674072266,16.58798837661743,220.68605065345764,30.987126941941543,12,130000,-133.8442601746086,36.64529026931108,16.859956741333008,13.756096839904785,-0.014049896,-28.227179058910842,100
