Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	66.78924632072449	1000	2000	123.50801529003671	123.50801529003671	2	2000
1	135.8504147529602	1000	3000	123.50801529003671	-179.84281570273802	3	3000
2	202.07983875274658	1000	4000	123.50801529003671	-505.26142804424916	4	4000
3	271.5107762813568	1000	5000	123.50801529003671	-581.1896915718534	5	5000
4	340.8787899017334	1000	6000	123.50801529003671	-612.1719397771003	6	6000
5	413.7869691848755	1000	7000	123.50801529003671	-605.0124956880733	7	7000
6	486.60193610191345	1000	8000	123.50801529003671	-618.5885446016899	8	8000
7	558.7667405605316	1000	9000	123.50801529003671	-608.8691147379601	9	9000
8	631.8961308002472	1000	10000	123.50801529003671	-612.428630429132	10	10000
9	703.0362584590912	1000	11000	123.50801529003671	-610.0548068018502	11	11000
10	775.5624532699585	1000	12000	123.50801529003671	-610.1723615664768	12	12000
11	848.9877445697784	1000	13000	123.50801529003671	-610.3405014488485	13	13000
12	927.9087822437286	1000	14000	123.50801529003671	-612.0172494275389	14	14000
13	1001.2986440658569	1000	15000	123.50801529003671	-609.0731266750182	15	15000
14	1074.9690177440643	1000	16000	123.50801529003671	-612.0821939991798	16	16000
15	1137.8324480056763	1000	17000	123.50801529003671	-610.5927053845418	17	17000
16	1200.2737214565277	1000	18000	123.50801529003671	-608.7546290233655	18	18000
17	1262.8247299194336	1000	19000	123.50801529003671	-608.100878179382	19	19000
18	1327.9698073863983	1000	20000	123.50801529003671	-610.345831199193	20	20000
19	1390.2686262130737	1000	21000	123.50801529003671	-609.1084694098702	21	21000
20	1457.3414328098297	1000	22000	123.50801529003671	-608.1474985094032	22	22000
21	1529.7328643798828	1000	23000	123.50801529003671	-610.1574650190212	23	23000
22	1601.929659128189	1000	24000	123.50801529003671	-611.5300417719345	24	24000
23	1674.8296222686768	1000	25000	123.50801529003671	-611.5919924570484	25	25000
24	1746.9399554729462	1000	26000	123.50801529003671	-606.6428408343282	26	26000
25	1816.5591270923615	1000	27000	123.50801529003671	-601.5852932348317	27	27000
26	1890.9750399589539	1000	28000	123.50801529003671	-603.6548722273194	28	28000
27	1963.1628794670105	1000	29000	123.50801529003671	-599.6534643552243	29	29000
28	2038.3170244693756	1000	30000	123.50801529003671	-599.4803882179215	30	30000
29	2111.5372402668	1000	31000	123.50801529003671	-600.4837725034619	31	31000
30	2184.509104013443	1000	32000	123.50801529003671	-599.2803521767333	32	32000
31	2256.6203138828278	1000	33000	123.50801529003671	-599.0803574627537	33	33000
32	2333.682964324951	1000	34000	123.50801529003671	-599.4113222514515	34	34000
33	2400.515192747116	1000	35000	123.50801529003671	-599.1318330119842	35	35000
34	2474.4966015815735	1000	36000	123.50801529003671	-599.240405979534	36	36000
35	2542.951195001602	1000	37000	123.50801529003671	-599.5065781547021	37	37000
36	2612.6719794273376	1000	38000	123.50801529003671	-599.6976127248518	38	38000
37	2680.9643309116364	1000	39000	123.50801529003671	-599.8852777262596	39	39000
38	2743.750262737274	1000	40000	123.50801529003671	-600.2558226757073	40	40000
39	2808.563206911087	1000	41000	123.50801529003671	-597.5770379435867	41	41000
40	2871.465898036957	1000	42000	123.50801529003671	-598.1662334631282	42	42000
41	2934.4469780921936	1000	43000	123.50801529003671	-599.5926424143817	43	43000
42	3001.6790499687195	1000	44000	123.50801529003671	-598.9857202985078	44	44000
43	3075.82483625412	1000	45000	123.50801529003671	-598.727520016105	45	45000
44	3154.04789686203	1000	46000	123.50801529003671	-600.8327213865134	46	46000
45	3229.924456834793	1000	47000	123.50801529003671	-601.8721378741026	47	47000
46	3301.217400789261	1000	48000	123.50801529003671	-599.0084500855057	48	48000
47	3376.797040939331	1000	49000	123.50801529003671	-598.8784328802623	49	49000
48	3449.5090770721436	1000	50000	123.50801529003671	-597.8804253776325	50	50000
49	3523.4069514274597	1000	51000	123.50801529003671	-600.6528817433509	51	51000
50	3595.4845275878906	1000	52000	123.50801529003671	-599.735461621568	52	52000
51	3662.802312850952	1000	53000	123.50801529003671	-598.6849461615194	53	53000
52	3726.3889665603638	1000	54000	123.50801529003671	-597.7158373269932	54	54000
53	3794.2465283870697	1000	55000	123.50801529003671	-600.183304246482	55	55000
54	3858.483658313751	1000	56000	123.50801529003671	-599.3994340889768	56	56000
